time,id,selection,a,b,c_in,m,f,p,g,c4,ab
3816,0002,0001,0101,1101,0,1,0010,1,1,1,1
3826,0002,0001,0101,1110,0,1,0000,1,1,1,1
3836,0002,0001,0101,1111,0,1,0000,1,1,1,1
3846,0002,0001,0110,0000,0,1,1001,1,1,1,1
3856,0002,0001,0110,0001,0,1,1000,1,1,1,1
3866,0002,0001,0110,0010,0,1,1001,1,1,1,1
3876,0002,0001,0110,0011,0,1,1000,1,1,1,1
3886,0002,0001,0110,0100,0,1,1001,1,1,1,1
3896,0002,0001,0110,0101,0,1,1000,1,1,1,1
3906,0002,0001,0110,0110,0,1,1001,1,1,1,1
3916,0002,0001,0110,0111,0,1,1000,1,1,1,1
3926,0002,0001,0110,1000,0,1,0001,1,1,1,1
3936,0002,0001,0110,1001,0,1,0000,1,1,1,1
3946,0002,0001,0110,1010,0,1,0001,1,1,1,1
3956,0002,0001,0110,1011,0,1,0000,1,1,1,1
3966,0002,0001,0110,1100,0,1,0001,1,1,1,1
3976,0002,0001,0110,1101,0,1,0000,1,1,1,1
3986,0002,0001,0110,1110,0,1,0001,1,1,1,1
3996,0002,0001,0110,1111,0,1,0000,1,1,1,1
4006,0002,0001,0111,0000,0,1,1000,1,1,1,1
4016,0002,0001,0111,0001,0,1,1000,1,1,1,1
4026,0002,0001,0111,0010,0,1,1000,1,1,1,1
4036,0002,0001,0111,0011,0,1,1000,1,1,1,1
4046,0002,0001,0111,0100,0,1,1000,1,1,1,1
4056,0002,0001,0111,0101,0,1,1000,1,1,1,1
4066,0002,0001,0111,0110,0,1,1000,1,1,1,1
4076,0002,0001,0111,0111,0,1,1000,1,1,1,1
4086,0002,0001,0111,1000,0,1,0000,1,1,1,1
4096,0002,0001,0111,1001,0,1,0000,1,1,1,1
4106,0002,0001,0111,1010,0,1,0000,1,1,1,1
4116,0002,0001,0111,1011,0,1,0000,1,1,1,1
4126,0002,0001,0111,1100,0,1,0000,1,1,1,1
4136,0002,0001,0111,1101,0,1,0000,1,1,1,1
4146,0002,0001,0111,1110,0,1,0000,1,1,1,1
4156,0002,0001,0111,1111,0,1,0000,1,1,1,1
4166,0002,0001,1000,0000,0,1,0111,1,1,1,1
4176,0002,0001,1000,0001,0,1,0110,1,1,1,1
4186,0002,0001,1000,0010,0,1,0101,1,1,1,1
4196,0002,0001,1000,0011,0,1,0100,1,1,1,1
4206,0002,0001,1000,0100,0,1,0011,1,1,1,1
4216,0002,0001,1000,0101,0,1,0010,1,1,1,1
4226,0002,0001,1000,0110,0,1,0001,1,1,1,1
4236,0002,0001,1000,0111,0,1,0000,1,1,1,1
4246,0002,0001,1000,1000,0,1,0111,1,1,1,1
4256,0002,0001,1000,1001,0,1,0110,1,1,1,1
4266,0002,0001,1000,1010,0,1,0101,1,1,1,1
